symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
INFY,INE009A01021,2025-04-07,NSE,EQ,EQ,buy,false,35.000000,1381.250000,203352993,1100000018762337,2025-04-07T09:53:42
BEL,INE263A01024,2025-04-07,NSE,EQ,EQ,buy,false,6.000000,268.899994,2726265,1000000017229874,2025-04-07T09:54:40
RELIANCE,INE002A01018,2025-05-02,BSE,EQ,A,sell,false,2.000000,1423.099976,3034300,1746158601770926023,2025-05-02T09:59:14
RELIANCE,INE002A01018,2025-05-02,BSE,EQ,A,sell,false,18.000000,1423.150024,3034100,1746158601770926023,2025-05-02T09:59:14
LICHSGFIN,INE115A01026,2025-05-02,NSE,EQ,EQ,buy,false,6.000000,611.650024,402100676,1200000015706135,2025-05-02T10:01:29
LICHSGFIN,INE115A01026,2025-05-02,NSE,EQ,EQ,buy,false,4.000000,611.650024,402100675,1200000015706135,2025-05-02T10:01:29
BEL,INE263A01024,2025-05-16,NSE,EQ,EQ,buy,false,12.000000,354.850006,528406,1000000003323192,2025-05-16T09:21:08
BEL,INE263A01024,2025-05-16,NSE,EQ,EQ,buy,false,50.000000,354.850006,528407,1000000003323192,2025-05-16T09:21:08
HAL,INE066F01020,2025-05-16,NSE,EQ,EQ,buy,false,3.000000,4953.700195,200989553,1100000006751013,2025-05-16T09:28:38
HAL,INE066F01020,2025-05-16,NSE,EQ,EQ,buy,false,1.000000,4953.700195,200989554,1100000006751013,2025-05-16T09:28:38
BDL,INE171Z01026,2025-05-16,BSE,EQ,A,buy,false,2.000000,1866.699951,2553300,1747366200007979896,2025-05-16T09:29:04
CREDITACC,INE741K01010,2025-05-16,NSE,EQ,EQ,sell,false,5.000000,1197.500000,958414,1000000006348590,2025-05-16T09:29:18
CREDITACC,INE741K01010,2025-05-16,NSE,EQ,EQ,sell,false,1.000000,1197.599976,958412,1000000006348590,2025-05-16T09:29:18
CREDITACC,INE741K01010,2025-05-16,NSE,EQ,EQ,sell,false,4.000000,1197.500000,958413,1000000006348590,2025-05-16T09:29:18
GRSE,INE382Z01011,2025-05-16,BSE,EQ,A,buy,false,5.000000,2360.000000,2821300,1747367804171354395,2025-05-16T09:31:45
BEL,INE263A01024,2025-05-16,NSE,EQ,EQ,buy,false,5.000000,358.299988,1506531,1000000010349977,2025-05-16T09:41:52
BDL,INE171Z01026,2025-05-23,NSE,EQ,EQ,buy,false,10.000000,1927.000000,576502,1000000004828960,2025-05-23T09:26:51
GRSE,INE382Z01011,2025-05-23,NSE,EQ,EQ,buy,false,3.000000,2863.899902,200925945,1100000006817968,2025-05-23T09:27:11
BEL,INE263A01024,2025-05-23,NSE,EQ,EQ,buy,false,5.000000,389.049988,597735,1000000005029801,2025-05-23T09:27:32
MODEFENCE,INF247L01DJ0,2025-06-03,NSE,EQ,EQ,buy,false,100.000000,96.349998,400891633,1200000006338660,2025-06-03T09:28:50
BEL,INE263A01024,2025-06-05,BSE,EQ,A,buy,false,1.000000,390.700012,3833100,1749097612270609950,2025-06-05T10:19:37
BEL,INE263A01024,2025-06-09,BSE,EQ,A,buy,false,48.000000,394.450012,3577400,1749441629242549244,2025-06-09T09:41:19
