,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
View Zerodha's guide on using tax reports for filing.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Client ID,DV1182,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
P&L Statement for Equity from 2026-04-01 to 2026-04-23,,,,,,,,,,,,
,,,,,,,,,,,,
Summary,,,,,,,,,,,,
,,,,,,,,,,,,
Charges,902.3971,,,,,,,,,,,
Other Credit & Debit,-76.7,,,,,,,,,,,
Realized P&L,74164.86,,,,,,,,,,,
Unrealized P&L,-52540.1808,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Charges,,,,,,,,,,,,
,,,,,,,,,,,,
Account Head,Amount,,,,,,,,,,,
Brokerage - Z,0.03,,,,,,,,,,,
Exchange Transaction Charges - Z,27.4197,,,,,,,,,,,
Clearing Charges - Z,0,,,,,,,,,,,
Central GST - Z,0,,,,,,,,,,,
State GST - Z,0,,,,,,,,,,,
Integrated GST - Z,5.0945,,,,,,,,,,,
Securities Transaction Tax - Z,853,,,,,,,,,,,
SEBI Turnover Fees - Z,0.8523,,,,,,,,,,,
Stamp Duty - Z,16,,,,,,,,,,,
IPFT,0.0007,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Symbol,ISIN,Quantity,Buy Value,Sell Value,Realized P&L,Realized P&L Pct.,Previous Closing Price,Open Quantity,Open Quantity Type,Open Value,Unrealized P&L,Unrealized P&L Pct.
ITC,INE154A01025,150,43762.5,46192.75,2430.25,5.5533,305.4,0,,0,0,0
NATCOPHARM,INE987B01026,30,34907.5,33664.7,-1242.8,-3.5603,1071.45,0,,0,0,0
OFSS,INE881D01027,75,510000,574540,64540,12.6549,8793.05,0,,0,0,0
PAGEIND,INE761H01022,2,63180,75520,12340,19.5315,37981.15,0,,0,0,0
PAISALO,INE420C01059,399,21450.25,17547.66,-3902.59,-18.1937,44.62,0,,0,0,0
