symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,11.000000,7661.500000,400963385,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,7.000000,7660.000000,400963398,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,1.000000,7660.500000,400963395,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,1.000000,7661.000000,400963388,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,1.000000,7661.500000,400963386,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,19.000000,7660.500000,400963397,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,2.000000,7660.500000,400963390,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,1.000000,7659.000000,400963401,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,2.000000,7660.500000,400963396,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,3.000000,7660.500000,400963391,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,3.000000,7660.500000,400963392,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,3.000000,7660.500000,400963394,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,4.000000,7660.000000,400963399,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,4.000000,7660.500000,400963389,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,4.000000,7661.500000,400963387,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,7.000000,7659.500000,400963400,1200000008340595,2026-04-16T09:32:49
OFSS,INE881D01027,2026-04-16,NSE,EQ,EQ,sell,false,2.000000,7660.500000,400963393,1200000008340595,2026-04-16T09:32:49
PAISALO,INE420C01059,2026-04-17,NSE,EQ,EQ,sell,false,36.000000,43.970001,401860952,1200000018798934,2026-04-17T10:03:34
PAISALO,INE420C01059,2026-04-17,NSE,EQ,EQ,sell,false,363.000000,43.980000,401860951,1200000018798934,2026-04-17T10:03:34
NMDC,INE584A01023,2026-04-17,BSE,EQ,A,buy,false,1126.000000,88.070000,2992500,1776400415529014898,2026-04-17T10:06:25
NMDC,INE584A01023,2026-04-17,BSE,EQ,A,buy,false,64.000000,88.080002,2992700,1776400415529014898,2026-04-17T10:06:25
ITC,INE154A01025,2026-04-17,BSE,EQ,A,sell,false,1.000000,308.049988,7489200,1776400147653398343,2026-04-17T10:07:22
ITC,INE154A01025,2026-04-17,BSE,EQ,A,sell,false,3.000000,308.000000,7489400,1776400147653398343,2026-04-17T10:07:22
ITC,INE154A01025,2026-04-17,BSE,EQ,A,sell,false,146.000000,307.950012,7489700,1776400147653398343,2026-04-17T10:07:22
NATCOPHARM,INE987B01026,2026-04-17,BSE,EQ,A,sell,false,12.000000,1122.099976,3321900,1776399305843437362,2026-04-17T10:08:49
NATCOPHARM,INE987B01026,2026-04-17,BSE,EQ,A,sell,false,16.000000,1122.199951,3321500,1776399305843437362,2026-04-17T10:08:49
NATCOPHARM,INE987B01026,2026-04-17,BSE,EQ,A,sell,false,2.000000,1122.150024,3321700,1776399305843437362,2026-04-17T10:08:49
PAGEIND,INE761H01022,2026-04-20,NSE,EQ,EQ,sell,false,2.000000,37760.000000,400976853,1200000008069134,2026-04-20T09:29:18
